"id_dataset","method","human_mean","coherence_diff_norm","diversity_diff_norm","coherence_var_diff_norm","diversity_var_diff_norm","length","coherence_diff_z","diversity_diff_z","coherence_var_diff_z","diversity_var_diff_z","mean_composite_score","var_composite_score","overall_composite_score"
"1017 wikinews","temp (0.9)",3,0.00145394308166638,4.56816774269427e-07,0.00194275777540589,4.95414338652674e-06,271,0.0376383970143601,0.304085523324694,-0.120558786813778,-0.447806270255315,0.170861960169527,-0.284182528534547,-0.0566602841825097
"1017 wikinews","topp (0.95)",3,0.00236949247722271,-0.000155165909636508,0.00185689254766845,3.75306954335196e-06,245,0.0695506883058837,0.164445706263878,-0.122575812841246,-0.454309752907134,0.116998197284881,-0.28844278287419,-0.0857222927946547
"1017 wikinews","beam (5)",1.5,0.00529255478864914,-0.000997876613204801,0.000191874687643575,6.19345859981983e-05,267,0.171436633944931,-0.591716142300921,-0.161688087371494,-0.139272933921488,-0.210139754177995,-0.150480510646491,-0.180310132412243
"1017 wikinews","topk (50)",3.5,0.00207059758171376,0.000660149799886649,0.00188101141366326,-2.21142701771198e-05,149,0.0591324399652409,0.896026106828934,-0.122009246120975,-0.594374242760762,0.477579273397088,-0.358191744440868,0.0596937644781096
"1017 wikinews","CS (('0.6', '10'))",3,0.00368336786306174,8.07302476365627e-05,0.000194032388577043,-5.26291692043738e-06,252,0.11534698748664,0.376114637959704,-0.161637401674187,-0.503128825847149,0.245730812723172,-0.332383113760668,-0.0433261505187481
"1027 wikinews","topp (0.95)",2.5,0.00317161287964882,0.00026417926349467,-2.34848501473175e-05,-1.34434023071731e-05,227,0.0975093108087602,0.540722903122694,-0.166747012904376,-0.547423891548915,0.319116106965727,-0.357085452226646,-0.0189846726304592
"1027 wikinews","beam (5)",2,0.00726367136613891,-0.00183122280550596,0.00366420024867716,0.000564953472338128,195,0.240141661435209,-1.33947524230601,-0.0801210640606972,2.58443520395799,-0.549666790435398,1.25215706994865,0.351245139756624
"1027 wikinews","CS (('0.6', '10'))",2.5,0.00317814727659134,-0.000186691704064274,0.00010102623360278,1.97707989860612e-05,244,0.0977370730460097,0.136157703167403,-0.163822172392683,-0.367578178371429,0.116947388106706,-0.265700175382056,-0.074376393637675
"1027 wikinews","temp (0.9)",2.5,0.00289551941719245,-0.000172028676139262,-0.000152844953114723,1.57175075533925e-05,235,0.0878858267669854,0.149314795220922,-0.169785759804332,-0.389525630366097,0.118600310993954,-0.279655695085215,-0.0805276920456304
"1027 wikinews","topk (50)",2,-0.00141920559146465,0.000216482341622099,0.00386164369138703,-1.4087590700395e-05,142,-0.0625077642149838,0.497924594686243,-0.0754829984153533,-0.550911993520022,0.21770841523563,-0.313197495967687,-0.0477445403660288
"1078 wikinews","topk (50)",2,-0.00696262858441988,0.00101626269321791,0.0258041326762573,-1.42056297590285e-05,105,-0.255728720027885,1.2155651640391,0.439959312239715,-0.55155114237371,0.479918222005608,-0.0557959150669976,0.212061153469305
"1078 wikinews","CS (('0.6', '10'))",2,0.0021084651240596,0.000298718163429156,-0.000847680109372906,-1.93284048935559e-06,240,0.0604523469497247,0.571714556974091,-0.186107857024617,-0.485097383049654,0.316083451961908,-0.335602620037136,-0.00975958403761401
"1078 wikinews","topp (0.95)",3.5,0.000691244289237682,1.99119609767835e-06,0.000418719449157794,2.34891823237247e-05,252,0.0110538499109366,0.30546231740204,-0.156359367000915,-0.347444161077881,0.158258083656488,-0.251901764039398,-0.0468218401914548
"1078 wikinews","temp (0.9)",2,-0.0344284245997299,0.00311452762164564,0.118424824554938,-4.25514220397895e-05,36,-1.21307355281165,3.09833214485509,2.61567526995702,-0.705035767317943,0.942629296021724,0.955319751319537,0.94897452367063
"1078 wikinews","beam (5)",3,0.00355857673559746,0.000426641551002943,0.00699212647069613,-7.44134251342091e-06,130,0.110997281365303,0.686499838343935,-0.00194606838223003,-0.514924397895242,0.398748559854619,-0.258435233138736,0.0701566633579414
"1102 wikitext","CS (('0.6', '10'))",1.5,0.00993461265848861,-0.00154669544080525,0.00210549005698079,0.000473625620005135,162,0.333239703941402,-1.08416967047886,-0.116736107295016,2.08992014424644,-0.37546498326873,0.986592018475712,0.305563517603491
"1102 wikitext","topk (50)",1,0.00158535005128737,-0.00184375473960724,0.00038485631317215,0.000274466323645787,408,0.042218704218575,-1.35072011010701,-0.157154832504874,1.01152764058659,-0.654250702944218,0.427186404040856,-0.113532149451681
"1102 wikitext","topp (0.95)",1.5,0.00678164258751867,-0.0011576865468687,0.000768083735717289,0.00025095728935766,257,0.223340118155418,-0.735113128178313,-0.148152589034716,0.884232722357639,-0.255886505011448,0.368040066661461,0.0560767808250069
"1102 wikitext","temp (0.9)",2,0.00305974056271141,-0.000400409813506621,0.00080306447869233,2.1037972307477e-05,266,0.0936099013581157,-0.0556109311022374,-0.147330870267993,-0.360716785327607,0.0189994851279391,-0.2540238277978,-0.11751217133493
"1102 wikitext","beam (5)",2,0.0128134076431553,-0.000750059384056711,0.000740798081409837,0.000146482018633665,115,0.433582672398542,-0.369350467692351,-0.148793545523912,0.318528028546582,0.0321161023530954,0.0848672415113348,0.0584916719322151
"1120 wikinews","CS (('0.6', '10'))",2,0.00571627014517363,0.000328301761397014,0.00120215560474097,-1.31840725599303e-05,128,0.18620561085402,0.598259832869902,-0.137955978827269,-0.546019692696465,0.392232721861961,-0.341987835761867,0.0251224430500471
"1120 wikinews","topk (50)",2,0.0114841618442423,0.0014814884150428,-0.000618993612744942,-6.80887466782467e-05,48,0.387250623752307,1.63301084299563,-0.180735873184552,-0.84331331678242,1.01013073337397,-0.512024594983486,0.249053069195241
"1120 wikinews","beam (5)",3.5,0.00616516638228267,-0.00123872983880717,0.00340761385067114,0.000369373239810502,232,0.201852289829312,-0.807833036904388,-0.0861484334244043,1.52542234100186,-0.302990373537538,0.719636953788727,0.208323290125594
"1120 wikinews","topp (0.95)",2.5,0.000654733636370802,0.00120527871054329,0.0413280918508941,-5.53942345856922e-05,59,0.00978123852023863,1.38516868332979,0.804626483452927,-0.774576045018167,0.697474960925015,0.0150252192173803,0.356250090071198
"1120 wikinews","temp (0.9)",2.5,0.00065340405456272,0.00010154366252367,0.0038845265850338,-9.95606716004461e-06,231,0.00973489475969293,0.394790454238458,-0.0749454654315655,-0.528540936300734,0.202262674499075,-0.30174320086615,-0.0497402631835371
