"Principal_Component","Spearman_Correlation","P_Value","Significance"
"PC1",-0.358395219331347,1.60157658865868e-10,"***"
"PC2",-0.479583002233726,1.16416584627222e-18,"***"
"PC3",0.0459713425515594,0.427578322242364,"ns"
"PC4",0.0449466757577708,0.437960775895747,"ns"
