"","Dim.1","Dim.2","Dim.3","Dim.4"
"coherence_mean",25.5177723517538,16.3654330456468,58.0129339381687,0.103860664430693
"coherence_variance",6.23534107477856,60.2745460486667,33.4712851370298,0.0188277395247815
"diversity_mean",34.912593802631,10.2499637901609,3.66976637720133,51.1676760300067
"diversity_variance",33.3342927708366,13.1100571155255,4.84601454760007,48.7096355660378
