"","eigenvalue","variance.percent","cumulative.variance.percent"
"comp 1",2.32127890787243,58.2260595620174,58.2260595620174
"comp 2",1.21710770033127,30.5294573661689,88.7555169281863
"comp 3",0.353446282762344,8.86570943383806,97.6212263620243
"comp 4",0.0948337757006308,2.37877363797569,100
