"Variable","Best_Distribution","Parameter_1","Parameter_2","AIC","BIC","LogLikelihood"
"Mean_Coherence","normal",-2.78242216624685,0.407355218658859,10343.2463179339,10357.651942145,-5169.62315896693
"Mean_Diversity","weibull",23.6999698807298,0.958929805170814,-31216.4632165694,-31202.0575923582,15610.2316082847
"Variance_Coherence","lognormal",1.97586575572504,0.216369152774299,37005.0947401816,37019.5003643928,-18500.5473700908
"Variance_Diversity","lognormal",-4.46590155276474,0.364377285615307,-9374.6938197649,-9364.58837766644,4689.34690988245
