"Pair","Best_Model","LogLikelihood","AIC","BIC","N_Parameters","Parameter_1","Parameter_2","Parameter_3"
"coherence","bivariate_normal",8479.79587770733,-16949.5917554147,-16913.5776948869,5,-2.78242216624685,0.934841309823678,-0.183429389259506
"variance","bivariate_normal",1731.0038634959,-3452.00772699179,-3426.74412174563,5,7.21756920415225,0.0126643598615917,0.00369756540818525
